1469	k	772	3018
3910	U	3994	789
4622	d	4210	3395
4742	Q	361	2955
830	D	4830	4047
4871	h	2680	2942
4901	y	786	90
1706	l	3575	241
3009	K	640	3834
2137	h	4971	3498
2406	u	2291	2347
4691	w	2844	743
2098	J	1117	4084
4868	J	2722	1966
1573	H	1665	1377
1291	z	1475	1211
3802	M	3263	632
455	p	3567	2161
3754	h	4440	923
2410	S	3043	21
699	y	2527	1928
4865	N	1487	2590
1149	G	905	205
2422	L	4595	423
1743	t	4014	2377
4628	R	1930	2961
4336	q	1076	1729
135	H	4028	543
200	f	2199	2855
61	T	3775	2651
3899	V	2583	2236
3718	G	4525	4158
261	o	1210	3329
3668	o	3426	4959
3170	x	1156	3674
811	e	3624	3603
2924	t	2006	4305
527	Z	4020	944
2630	R	4728	974
2719	e	3971	2677
2454	s	2652	186
1660	t	1279	2515
3611	J	222	862
934	o	4893	1974
836	v	4908	1720
3140	v	4985	1518
435	b	4800	3766
2777	M	1165	3689
1356	t	4560	1473
2530	B	1146	1918
2093	Y	1258	70
2293	J	827	483
502	D	3342	2072
4658	T	3796	916
960	r	179	1875
741	Y	4626	3545
1301	D	476	1227
3530	i	3753	2164
4743	x	2380	4151
1563	c	3290	4073
1893	r	3025	812
731	g	2283	177
2542	m	3445	4737
26	h	853	4724
112	z	227	684
1942	y	2572	1401
2264	N	628	2167
2229	i	4305	3965
4313	Y	2142	2437
2012	P	910	1954
3014	A	2675	2122
1084	Z	721	975
3730	w	3452	2849
3585	K	1731	188
4276	g	392	214
2690	W	1755	2984
2077	J	2501	1311
1671	a	73	3044
3425	G	1024	2087
650	p	376	2257
4373	m	3410	1790
1613	Z	1674	378
664	b	979	4318
2379	i	269	4530
3743	C	4243	4239
818	S	154	4372
2711	C	3656	3570
4295	R	2980	2059
582	c	1017	494
1003	j	4191	3525
3651	j	3464	4912
966	K	3965	1251
4158	U	4663	4571
1951	v	1111	4140
2678	V	414	1325
2718	i	4769	1695
2674	p	3071	3602
246	u	1596	2558
325	I	4989	3971
4813	k	1592	2309
238	K	3243	313
3815	a	165	3514
4500	S	1084	3932
1508	F	2670	3592
847	R	3361	2399
2937	L	3340	1756
3208	O	4530	1471
381	e	2664	1435
4526	g	2132	3885
871	z	750	568
4631	B	3069	4930
331	D	3161	3886
4550	Y	560	2542
3680	G	738	146
2351	i	3611	1760
1483	l	479	4418
882	T	3480	4671
4	i	1237	2268
4716	Y	4766	4099
2469	I	4260	954
3427	d	2455	3792
2260	W	3004	1339
974	v	318	1810
1791	f	1450	228
1842	v	3063	3860
3221	a	113	209
1319	o	2192	1617
502	l	3525	4283
2372	I	2100	1905
3296	n	86	4699
3375	b	603	97
4301	g	4089	1356
2423	g	4801	2101
4791	O	725	2627
4024	o	1051	3674
4055	V	205	2826
3689	u	3117	116
4841	e	2856	1974
2384	I	556	3281
3195	z	3828	3917
1650	c	1694	4895
175	j	1749	83
1944	i	2125	3121
4049	S	1635	1067
2961	M	2667	2427
4721	v	3859	1771
878	G	3747	1531
3237	e	91	3374
3408	U	4205	4417
1034	d	999	1480
753	b	4754	1700
3329	U	357	4692
4538	l	3496	4108
4531	J	2482	2924
565	n	2488	3961
